cik,cusip6,cusip8
718449.0,872180,87218010
886137.0,317923,31792310
918577.0,779088,77908810
1010552.0,73172K,73172K10
1099800.0,28176E,28176E10
28866.0,92343P,92343P10
357108.0,463664,46366450
914735.0,561063,56106310
1121788.0,G37260,G3726010
893538.0,792228,79222810
352949.0,339130,33913010
712515.0,285512,28551210
914480.0,896925,89692520
922503.0,43357B,43357B10
1076930.0,36229U,36229U10
1042185.0,926734,92673410
861361.0,073302,07330210
772406.0,172755,17275510
310624.0,027352,02735210
105016.0,942622,94262220
745732.0,778296,77829610
75659.0,588056,58805610
109563.0,03820C,03820C10
1120102.0,011589,01158910
318996.0,492914,49291410
1013609.0,78402P,78402P10
814068.0,158496,15849610
14195.0,109043,10904310
1090012.0,25179M,25179M10
66479.0,601073,60107310
1003078.0,553530,55353010
79282.0,115236,11523610
70866.0,62886E,62886E10
1031283.0,293848,29384810
918066.0,401829,40182910
1015780.0,269246,26924610
766421.0,011659,01165910
6314.0,032744,03274410
1000229.0,N22717,N2271710
732485.0,372917,37291770
6260.0,03237E,03237E10
1089510.0,01167P,01167P10
812906.0,409900,40990010
866706.0,296315,29631510
1043533.0,591689,59168910
1046501.0,117769,11776910
1008817.0,803062,80306210
866213.0,879403,87940378
751085.0,559424,55942410
779390.0,04523Q,04523Q10
70033.0,639480,63948010
1038541.0,74018R,74018R10
855658.0,518415,51841510
1066118.0,87944E,87944E10
733269.0,005125,00512510
907687.0,004934,00493410
1012967.0,58984Y,58984Y10
46012.0,417434,41743450
1043382.0,834376,83437610
932470.0,P9028N,P9028N10
924940.0,25278P,25278P10
277948.0,126408,12640810
23675.0,12612W,12612W10
1028281.0,10001P,10001P10
912562.0,37476F,37476F10
313716.0,412324,41232430
935036.0,893416,89341610
746838.0,909214,90921410
1051512.0,879433,87943310
1060749.0,499063,49906310
869561.0,781904,78190410
946840.0,928241,92824110
933974.0,11442E,11442E10
30625.0,34354P,34354P10
1114973.0,00761E,00761E10
887936.0,302941,30294110
730469.0,020813,02081310
1011696.0,009417,00941710
790528.0,78375P,78375P10
98362.0,887389,88738910
918160.0,001547,00154710
878903.0,02144G,02144G10
39648.0,361268,36126810
66960.0,011020,01102003
884217.0,587118,58711810
9092.0,056525,05652510
14930.0,117043,11704310
1111335.0,92839U,92839U10
46989.0,427056,42705610
1036960.0,303726,30372610
903657.0,781903,78190360
724606.0,69840W,69840W10
864749.0,896239,89623910
37748.0,576206,57620610
755199.0,893934,89393410
75681.0,704227,70422710
26058.0,126501,12650110
23071.0,043127,04312710
723371.0,417119,41711910
1047262.0,301504,30150460
320345.0,594901,59490110
856386.0,368483,36848310
918646.0,15231R,15231R10
76321.0,701081,70108110
29924.0,260561,26056110
1089907.0,483600,48360030
858470.0,127097,12709710
895663.0,379336,37933610
888504.0,521050,52105010
746515.0,302130,30213010
1020871.0,682160,68216010
879933.0,462622,46262210
65011.0,589433,58943310
763744.0,26168L,26168L20
318154.0,031162,03116210
1069157.0,27579R,27579R10
819793.0,012348,01234810
931948.0,86074Q,86074Q10
813856.0,73972W,73972W40
1108487.0,903474,90347430
1054102.0,69329V,69329V10
910134.0,077459,07745910
1168478.0,42822Q,42822Q10
4447.0,023551,02355110
1092013.0,004631,00463110
949039.0,25271C,25271C10
929454.0,37803P,37803P10
915390.0,039392,03939260
1019849.0,909440,90944010
1070794.0,700690,70069010
820626.0,449669,44966910
911326.0,896263,89626310
849667.0,027070,02707010
1017480.0,428565,42856510
350832.0,028740,02874010
849547.0,091826,09182610
874841.0,694873,69487310
919226.0,832727,83272710
921549.0,896106,89610610
1111863.0,826516,82651610
722104.0,090578,09057810
49600.0,277276,27727610
1102541.0,602683,60268310
110621.0,749685,74968510
1102556.0,669967,66996710
276889.0,747620,74762010
719739.0,827064,82706410
930184.0,448924,44892410
1145460.0,46126P,46126P10
33533.0,296650,29665010
707549.0,512807,51280710
2601.0,007768,00776810
778438.0,085789,08578910
870755.0,232560,23256010
25191.0,222372,22237210
1037676.0,039380,03938010
278352.0,871508,87150810
922341.0,81169P,81169P10
1005313.0,361437,36143710
832428.0,811054,81105420
1037016.0,62913F,62913F20
911708.0,741570,74157020
75644.0,988910,98891010
927066.0,23918K,23918K10
884629.0,942683,94268310
351817.0,870738,87073810
6292.0,032681,03268110
874499.0,402635,40263530
931058.0,532774,53277410
882095.0,375558,37555810
914024.0,820280,82028010
82811.0,758750,75875010
947484.0,G0450A,G0450A10
805326.0,291345,29134510
48898.0,443510,44351020
806624.0,247909,24790920
1080359.0,019855,01985510
910406.0,405217,40521710
912183.0,229678,22967810
1104657.0,117421,11742110
108772.0,984121,98412110
927003.0,007973,00797310
69970.0,98469a,98469a
773141.0,552676,55267610
879585.0,049079,04907920
1001627.0,98466a,98466a
904020.0,048396,04839610
1129446.0,00845V,00845V10
738076.0,885535,88553510
1036425.0,595094,59509410
874663.0,01642T,01642T10
1109808.0,053893,05389310
706015.0,316869,31686910
1101396.0,247368,24736810
940942.0,443320,44332010
779152.0,426281,42628110
848865.0,019589,01958930
